Kernel,Iteration,Reward.Mean,Reward.Std,Success.Mean,Success.Std,Turns.Mean,Turns.Std
Linear (sigma=5),1,4.4,1.98,62.0,9.51,8.0,0.85
Linear (sigma=5),2,8.11,1.85,82.0,7.53,8.29,0.87
Linear (sigma=5),3,6.27,2.0,73.0,8.7,8.33,0.95
Linear (sigma=5),4,6.93,2.05,75.0,8.49,8.07,0.94
Linear (sigma=5),5,6.45,1.91,72.0,8.8,7.95,0.95
Linear (sigma=5),6,7.31,1.84,81.0,7.69,8.89,0.95
Linear (sigma=5),7,7.74,1.66,78.0,8.12,7.86,0.88
Linear (sigma=5),8,7.51,1.75,79.0,7.98,8.29,0.91
Linear (sigma=5),9,7.34,1.73,77.0,8.25,8.06,0.77
Linear (sigma=5),10,8.69,1.52,83.0,7.36,7.91,0.76
Gaussian (p=1;l=1),1,1.25,2.2,50.0,9.8,8.75,0.91
Gaussian (p=1;l=1),2,2.19,2.16,56.0,9.73,9.01,0.88
Gaussian (p=1;l=1),3,3.82,2.0,68.0,9.14,9.78,1.01
Gaussian (p=1;l=1),4,5.63,1.93,68.0,9.14,7.97,0.76
Gaussian (p=1;l=1),5,5.34,1.9,67.0,9.22,8.06,0.81
Gaussian (p=1;l=1),6,3.9,1.95,64.0,9.41,8.9,0.86
Gaussian (p=1;l=1),7,4.76,1.72,61.0,9.56,7.44,0.75
Gaussian (p=1;l=1),8,5.45,1.87,72.0,8.8,8.95,0.97
Gaussian (p=1;l=1),9,4.41,1.92,63.0,9.46,8.19,0.93
Gaussian (p=1;l=1),10,5.47,1.89,70.0,8.98,8.53,0.91
