Kernel,Iteration,Reward.Mean,Reward.Std,Success.Mean,Success.Std,Turns.Mean,Turns.Std
Gaussian (p=1;l=2),1,1.2,1.93,36.0,9.41,6.0,0.53
Gaussian (p=1;l=2),2,5.25,1.89,60.0,9.6,6.75,0.56
Gaussian (p=1;l=2),3,4.35,1.91,57.0,9.7,7.05,0.67
Gaussian (p=1;l=2),4,7.14,1.74,74.0,8.6,7.66,0.81
Gaussian (p=1;l=2),5,5.51,1.72,67.0,9.22,7.89,0.84
Gaussian (p=1;l=2),6,4.72,2.0,59.0,9.64,7.08,0.6
Gaussian (p=1;l=2),7,7.32,1.86,74.0,8.6,7.48,0.66
Gaussian (p=1;l=2),8,5.31,1.94,67.0,9.22,8.09,0.92
Gaussian (p=1;l=2),9,6.32,1.77,73.0,8.7,8.28,0.86
Gaussian (p=1;l=2),10,4.47,1.91,63.0,9.46,8.13,0.79
Gaussian (p=1;l=3),1,2.78,2.12,46.0,9.77,6.42,0.81
Gaussian (p=1;l=3),2,6.33,2.0,65.0,9.35,6.67,0.71
Gaussian (p=1;l=3),3,5.04,2.12,62.0,9.51,7.36,0.86
Gaussian (p=1;l=3),4,7.46,1.92,69.0,9.06,6.34,0.65
Gaussian (p=1;l=3),5,5.76,2.08,64.0,9.41,7.04,0.91
Gaussian (p=1;l=3),6,6.15,1.84,68.0,9.14,7.45,0.79
Gaussian (p=1;l=3),7,7.51,1.7,75.0,8.49,7.49,0.9
Gaussian (p=1;l=3),8,6.26,1.95,68.0,9.14,7.34,0.77
Gaussian (p=1;l=3),9,7.21,1.79,72.0,8.8,7.19,0.77
Gaussian (p=1;l=3),10,6.78,2.06,72.0,8.8,7.62,1.06
Gaussian (p=2;l=2),1,5.08,1.9,60.0,9.6,6.92,0.77
Gaussian (p=2;l=2),2,4.76,1.91,61.0,9.56,7.44,0.72
Gaussian (p=2;l=2),3,3.82,1.92,57.0,9.7,7.58,0.77
Gaussian (p=2;l=2),4,6.08,1.86,69.0,9.06,7.72,0.77
Gaussian (p=2;l=2),5,5.46,1.81,64.0,9.41,7.34,0.77
