Nu,Iteration,Reward.Mean,Reward.Std,Success.Mean,Success.Std,Turns.Mean,Turns.Std
0.001,1,-8.89,2.29,25.0,8.49,13.89,1.51
0.001,2,-7.83,2.23,31.0,9.06,14.03,1.57
0.001,3,-7.13,2.3,34.0,9.28,13.93,1.49
0.001,4,-5.14,2.34,44.0,9.73,13.94,1.43
0.001,5,-6.19,2.45,36.0,9.41,13.39,1.55
0.001,6,-6.15,2.36,34.0,9.28,12.95,1.42
0.001,7,-5.75,2.45,36.0,9.41,12.95,1.58
0.001,8,-8.46,2.38,28.0,8.8,14.06,1.71
0.001,9,-8.98,2.18,22.0,8.12,13.38,1.48
0.001,10,-6.32,2.26,33.0,9.22,12.92,1.49
0.005,1,-7.2,2.42,36.0,9.41,14.4,1.48
0.005,2,-7.31,2.26,36.0,9.41,14.51,1.5
0.005,3,-7.71,2.24,27.0,8.7,13.11,1.48
0.005,4,-7.39,2.16,33.0,9.22,13.99,1.53
0.005,5,-8.23,2.45,34.0,9.28,15.03,1.67
0.005,6,-7.41,2.27,33.0,9.22,14.01,1.41
0.005,7,-6.87,2.59,38.0,9.51,14.47,1.57
0.005,8,-8.6,2.28,29.0,8.89,14.4,1.53
0.005,9,-7.36,2.19,29.0,8.89,13.16,1.52
0.005,10,-5.99,2.5,39.0,9.56,13.79,1.5
0.01,1,-7.56,2.46,27.0,8.7,12.96,1.55
0.01,2,-7.33,2.16,34.0,9.28,14.13,1.47
0.01,3,-8.2,2.22,30.0,8.98,14.2,1.46
0.01,4,-5.36,2.29,42.0,9.67,13.76,1.55
0.01,5,-6.98,2.57,38.0,9.51,14.58,1.66
0.01,6,-6.61,2.46,37.0,9.46,14.01,1.55
0.01,7,-9.02,2.39,34.0,9.28,15.82,1.76
0.01,8,-8.64,2.32,27.0,8.7,14.04,1.63
0.01,9,-9.53,2.16,23.0,8.25,14.13,1.68
0.01,10,-5.62,2.09,39.0,9.56,13.42,1.57
0.05,1,-7.69,2.24,32.0,9.14,14.09,1.54
0.05,2,-8.89,2.12,29.0,8.89,14.69,1.63
0.05,3,-8.53,2.29,25.0,8.49,13.53,1.51
0.05,4,-6.11,2.33,34.0,9.28,12.91,1.61
0.05,5,-6.37,2.45,34.0,9.28,13.17,1.64
0.05,6,-8.32,2.2,31.0,9.06,14.52,1.55
0.05,7,-8.96,2.33,29.0,8.89,14.76,1.59
0.05,8,-8.04,2.47,31.0,9.06,14.24,1.59
0.05,9,-9.91,2.29,23.0,8.25,14.51,1.75
0.05,10,-7.31,2.23,29.0,8.89,13.11,1.54
0.1,1,-8.39,2.29,29.0,8.89,14.19,1.52
0.1,2,-5.88,2.28,40.0,9.6,13.88,1.54
0.1,3,-7.2,2.32,31.0,9.06,13.4,1.52
0.1,4,-6.33,2.48,34.0,9.28,13.13,1.48
0.1,5,-7.04,2.44,37.0,9.46,14.44,1.56
0.1,6,-6.15,2.3,36.0,9.41,13.35,1.44
0.1,7,-8.38,2.24,28.0,8.8,13.98,1.6
0.1,8,-8.7,2.36,27.0,8.7,14.1,1.61
0.1,9,-8.24,2.31,26.0,8.6,13.44,1.68
0.1,10,-6.88,2.33,30.0,8.98,12.88,1.58
