Kernel,Iteration,Reward.Mean,Reward.Std,Success.Mean,Success.Std,Turns.Mean,Turns.Std
Linear (sigma=5),1,5.13,2.06,67.0,9.22,8.27,0.92
Linear (sigma=5),2,3.66,1.93,56.0,9.73,7.54,0.75
Linear (sigma=5),3,4.25,1.92,60.0,9.6,7.75,0.88
Linear (sigma=5),4,5.97,1.91,67.0,9.22,7.43,0.72
Linear (sigma=5),5,4.9,1.83,66.0,9.28,8.3,0.94
Linear (sigma=5),6,3.78,2.0,59.0,9.64,8.02,0.88
Linear (sigma=5),7,4.99,1.85,65.0,9.35,8.01,0.84
Linear (sigma=5),8,5.21,1.93,66.0,9.28,7.99,0.92
Linear (sigma=5),9,5.81,1.82,69.0,9.06,7.99,1.06
Linear (sigma=5),10,7.34,1.88,75.0,8.49,7.66,0.93
Gaussian (p=2;l=2),1,2.35,2.08,51.0,9.8,7.85,0.72
Gaussian (p=2;l=2),2,3.84,1.98,56.0,9.73,7.36,0.68
Gaussian (p=2;l=2),3,4.01,2.01,60.0,9.6,7.99,0.87
Gaussian (p=2;l=2),4,4.54,1.89,61.0,9.56,7.66,0.67
Gaussian (p=2;l=2),5,4.47,1.95,63.0,9.46,8.13,0.8
Gaussian (p=2;l=2),6,4.74,2.08,64.0,9.41,8.06,0.77
Gaussian (p=2;l=2),7,4.39,2.01,60.0,9.6,7.61,0.74
Gaussian (p=2;l=2),8,5.88,1.98,72.0,8.8,8.52,0.93
Gaussian (p=2;l=2),9,6.06,1.78,71.0,8.89,8.14,0.7
Gaussian (p=2;l=2),10,5.82,1.99,69.0,9.06,7.98,0.81
Gaussian (p=3;l=2),1,-0.92,1.85,40.0,9.6,8.92,1.02
Gaussian (p=3;l=2),2,6.13,1.78,68.0,9.14,7.47,0.68
Gaussian (p=3;l=2),3,7.17,1.7,72.0,8.8,7.23,0.67
Gaussian (p=3;l=2),4,8.19,1.88,76.0,8.37,7.01,0.7
Gaussian (p=3;l=2),5,5.29,1.93,63.0,9.46,7.31,0.75
Gaussian (p=3;l=2),6,8.23,1.67,78.0,8.12,7.37,0.58
